,928288,938782,1687536,928287,938363,927344,1686817,949930,946189,1052273,939361,1040768,1686749,1061977,958357,939262,1719490,1719489,1045160,927333,1052336,940013,928294
928288,,5.680624,5.926973,5.680624,5.825580,6.065766,5.999748,5.995768,5.972321,5.993291,5.998237,5.997829,5.999639,5.966876,6.209451,5.998673,5.999409,5.999516,5.973116,5.680624,6.000000,5.680624,6.099793
938782,6.319376,,5.305767,6.000000,6.997466,6.063229,5.997332,5.963239,5.813451,5.942339,5.983198,5.979668,5.996133,9.654046,6.039278,5.988604,5.993991,5.994941,5.744359,6.000000,6.319376,6.000000,6.013877
1687536,6.073027,6.694233,,6.694233,6.256236,6.013669,5.986420,6.175570,9.877099,6.309734,5.997841,6.015712,5.978072,6.899376,6.006469,6.061520,5.980190,5.976808,5.996321,6.694233,6.073027,6.694233,6.001976
928287,6.319376,6.000000,5.305767,,6.997466,6.063229,5.997332,5.963239,5.813451,5.942339,5.983198,5.979668,5.996133,9.654046,6.039278,5.988604,5.993991,5.994941,5.744359,6.000000,6.319376,6.000000,6.013877
938363,6.174420,5.002534,5.743764,5.002534,,6.049787,5.999103,5.985292,5.905986,5.976708,5.993813,5.992394,5.998715,6.063665,6.070037,5.995395,5.997911,5.998283,5.905669,5.002534,6.174420,5.002534,6.030727
927344,5.934234,5.936771,5.986331,5.936771,5.950213,,5.999953,5.999204,5.994732,5.998737,5.999670,5.999593,5.999933,5.988762,7.000161,5.999750,5.999890,5.999910,5.994968,5.936771,5.934234,5.936771,6.506370
1686817,6.000252,6.002668,6.013580,6.002668,6.000897,6.000047,,6.284884,6.044723,6.181427,6.556508,6.482660,5.273888,6.003134,6.000021,6.917897,6.912006,6.386214,6.036845,6.002668,6.000252,6.002668,6.000006
949930,6.004232,6.036761,5.824430,6.036761,6.014708,6.000796,5.715116,,6.381218,6.142320,5.108178,5.119137,5.562783,6.051798,6.000387,6.076757,5.475014,5.487522,5.520850,6.036761,6.004232,6.036761,6.000121
946189,6.027679,6.186549,2.122901,6.186549,6.094014,6.005268,5.955277,5.618782,,5.424293,5.772379,5.736430,5.933723,6.333842,6.002729,5.886416,5.906260,5.916863,2.555609,6.186549,6.027679,6.186549,6.000881
1052273,6.006709,6.057661,5.690266,6.057661,6.023292,6.001263,5.818573,5.857680,6.575707,,5.399338,5.392254,5.722442,6.082063,6.000616,6.001979,5.661438,5.672629,5.154983,6.057661,6.006709,6.057661,6.000192
939361,6.001763,6.016802,6.002159,6.016802,6.006187,6.000330,5.443492,6.891822,6.227621,6.600662,,6.467280,5.098976,6.021715,6.000156,8.647998,5.199630,5.052286,6.005218,6.016802,6.001763,6.016802,6.000048
1040768,6.002171,6.020332,5.984288,6.020332,6.007606,6.000407,5.517340,6.880863,6.263570,6.607746,5.532720,,5.231132,6.026713,6.000193,7.626574,5.245444,5.163727,5.956454,6.020332,6.002171,6.020332,6.000059
1686749,6.000361,6.003867,6.021928,6.003867,6.001285,6.000067,6.726112,6.437217,6.066277,6.277558,6.901024,6.768868,,6.004489,6.000030,7.404067,7.750043,7.203596,6.059514,6.003867,6.000361,6.003867,6.000009
1061977,6.033124,2.345954,5.100624,2.345954,5.936335,6.011238,5.996866,5.948202,5.666158,5.917937,5.978285,5.973287,5.995511,,6.018979,5.983774,5.992686,5.993998,5.668905,2.345954,6.033124,2.345954,6.008541
958357,5.790549,5.960722,5.993531,5.960722,5.929963,4.999839,5.999979,5.999613,5.997271,5.999384,5.999844,5.999807,5.999970,5.981021,,5.999878,5.999949,5.999959,5.997619,5.960722,5.790549,5.960722,6.575042
939262,6.001327,6.011396,5.938480,6.011396,6.004605,6.000250,5.082103,5.923243,6.113584,5.998021,3.352002,4.373426,4.595933,6.016226,6.000122,,4.286205,4.343511,5.832164,6.011396,6.001327,6.011396,6.000038
1719490,6.000591,6.006009,6.019810,6.006009,6.002089,6.000110,5.087994,6.524986,6.093740,6.338562,6.800370,6.754556,4.249957,6.007314,6.000051,7.713795,,4.757882,6.053665,6.006009,6.000591,6.006009,6.000015
1719489,6.000484,6.005059,6.023192,6.005059,6.001717,6.000090,5.613786,6.512478,6.083137,6.327371,6.947714,6.836273,4.796404,6.006002,6.000041,7.656489,7.242118,,6.062906,6.005059,6.000484,6.005059,6.000012
1045160,6.026884,6.255641,6.003679,6.255641,6.094331,6.005032,5.963155,6.479150,9.444391,6.845017,5.994782,6.043546,5.940486,6.331095,6.002381,6.167836,5.946335,5.937094,,6.255641,6.026884,6.255641,6.000727
927333,6.319376,6.000000,5.305767,6.000000,6.997466,6.063229,5.997332,5.963239,5.813451,5.942339,5.983198,5.979668,5.996133,9.654046,6.039278,5.988604,5.993991,5.994941,5.744359,,6.319376,6.000000,6.013877
1052336,6.000000,5.680624,5.926973,5.680624,5.825580,6.065766,5.999748,5.995768,5.972321,5.993291,5.998237,5.997829,5.999639,5.966876,6.209451,5.998673,5.999409,5.999516,5.973116,5.680624,,5.680624,6.099793
940013,6.319376,6.000000,5.305767,6.000000,6.997466,6.063229,5.997332,5.963239,5.813451,5.942339,5.983198,5.979668,5.996133,9.654046,6.039278,5.988604,5.993991,5.994941,5.744359,6.000000,6.319376,,6.013877
928294,5.900207,5.986123,5.998024,5.986123,5.969273,5.493630,5.999994,5.999879,5.999119,5.999808,5.999952,5.999941,5.999991,5.991459,5.424958,5.999962,5.999985,5.999988,5.999273,5.986123,5.900207,5.986123,
